0 0 28 50
0.0000,0.0000,0.0000,50.0000
1.0000,1.0000,2.7000,1.0000
1.0000,1.0000,1.0000,5.5000
2.7000,5.5000,1.0000,5.5000
2.7000,5.5000,2.7000,1.0000
5.5478,-0.0112,5.6050,15.5483
5.6050,15.5483,7.0351,11.7729
7.0351,11.7729,9.2660,8.3978
9.2660,8.3978,12.9843,5.7092
12.9843,5.7092,17.6179,2.6202
17.6179,2.6202,22.0226,0.7896
22.0226,0.7896,23.6815,0.2748
5.7766,26.3599,5.7194,47.0679
5.8338,26.2455,9.0372,20.5823
9.0372,20.5823,13.5564,14.6331
13.5564,14.6331,17.3318,12.0589
17.3890,12.0589,21.9654,9.6563
21.9654,9.6563,25.8553,8.4550
0.0562,49.9281,28.1434,49.9281
28.1434,49.9281,28.2578,-0.0112
25.9697,8.3978,28.1434,7.8258
5.7194,47.0679,5.7766,49.7565
0.0256,-0.0112,28.2798,-0.0433
